Subject,CourseName,URL
Art & Design Courses,UX Design Fundamentals,https://www.classcentral.com/course/ux-design-fundamentals-12102
Art & Design Courses,User Research and Design,https://www.classcentral.com/course/design-research-6924
Art & Design Courses,Write Like Mozart: An Introduction to Classical Music Composition,https://www.classcentral.com/course/classicalcomp-735
Art & Design Courses,Defining the String Quartet II: Beethoven,https://www.classcentral.com/course/edx-defining-the-string-quartet-ii-beethoven-19303
Art & Design Courses,The New World of Arnold Schönberg's Piano Music,https://www.classcentral.com/course/edx-the-new-world-of-arnold-schoenberg-s-piano-music-17139
Art & Design Courses,How Music Can Change Your Life,https://www.classcentral.com/course/music-life-6634
Art & Design Courses,The Technology of Music Production,https://www.classcentral.com/course/technology-of-music-production-6351
Art & Design Courses,"History of Rock, Part One",https://www.classcentral.com/course/historyofrock1-690
Art & Design Courses,The Music of the Beatles,https://www.classcentral.com/course/beatles-1135
Art & Design Courses,Visual Elements of User Interface Design,https://www.classcentral.com/course/visual-elements-user-interface-design-12103
Art & Design Courses,Print and Digital Elements of Design: Branding and User Experience,https://www.classcentral.com/course/designing-print-digital-media-13823
Art & Design Courses,Graphic Elements of Design: Color Theory and Image Formats,https://www.classcentral.com/course/graphic-elements-design-13824
Art & Design Courses,"Textual Elements of Design: Fonts, Typography, and Spacing",https://www.classcentral.com/course/fonts-typography-spacing-13825
Art & Design Courses,Basic Elements of Design: Design Principles and Software Overview,https://www.classcentral.com/course/basic-elements-design-13826
Art & Design Courses,Arranging for Songwriters,https://www.classcentral.com/course/arranging-for-songwriters-17325
Art & Design Courses,Pro Tools Basics,https://www.classcentral.com/course/protoolsbasics-5436
Art & Design Courses,The Art of Vocal Production,https://www.classcentral.com/course/vocal-production-7797
Art & Design Courses,"Musicianship: Chord Charts, Diatonic Chords, and Minor Keys",https://www.classcentral.com/course/musicianship-chords-7050
Art & Design Courses,The Art of Music Production,https://www.classcentral.com/course/producing-music-6350
Art & Design Courses,Building Your Career in Music: Developing A Brand and Funding Your Music,https://www.classcentral.com/course/navigate-music-industry-independent-arti-9576
Art & Design Courses,Making Architecture,https://www.classcentral.com/course/making-architecture-7153
Art & Design Courses,"Photography Techniques: Light, Content, and Sharing",https://www.classcentral.com/course/photography-techniques-6478
Art & Design Courses,Write A Feature Length Screenplay For Film Or Television,https://www.classcentral.com/course/write-a-feature-length-screenplay-for-film-or-tel-17968
Art & Design Courses,Photography Capstone Project,https://www.classcentral.com/course/photography-project-5595
Art & Design Courses,Web Design: Wireframes to Prototypes,https://www.classcentral.com/course/web-design-wireframes-prototypes-12101
Art & Design Courses,Approaching Music Theory: Melodic Forms and Simple Harmony,https://www.classcentral.com/course/melodic-forms-simple-harmony-13653
Art & Design Courses,Introduction to Game Design,https://www.classcentral.com/course/edx-introduction-to-game-design-2366
Art & Design Courses,The Blues: Understanding and Performing an American Art Form,https://www.classcentral.com/course/the-blues-6026
Art & Design Courses,Prototyping and Design,https://www.classcentral.com/course/prototyping-design-6932
Art & Design Courses,Introduction to 3D Animation using Blender,https://www.classcentral.com/course/introduction-into-3d-modelling-animation-45947
Art & Design Courses,The Cycle: Management of Successful Arts and Cultural Organizations,https://www.classcentral.com/course/the-cycle-7748
Art & Design Courses,Guitar Scales and Chord Progressions,https://www.classcentral.com/course/guitar-scales-chord-progressions-11773
Art & Design Courses,Classical Works,https://www.classcentral.com/course/harvardx-classical-works-23750
Art & Design Courses,Guitar Chord Voicings: Playing Up The Neck,https://www.classcentral.com/course/guitar-chords-20106
Art & Design Courses,A tecnologia da produção musical ,https://www.classcentral.com/course/tecnologia-producao-musical-9642
Art & Design Courses,Fundamentals of Rehearsing Music Ensembles,https://www.classcentral.com/course/music-ensembles-731
Art & Design Courses,Exploring Beethoven’s Piano Sonatas Part 2,https://www.classcentral.com/course/exploring-beethoven-piano-sonatas-2-7773
Art & Design Courses,Audio Signal Processing for Music Applications,https://www.classcentral.com/course/audio-2488
