,listingID,sold,longitude,latitude,Price,district,county,parish,Title,Description,Ano,lift,parking,others,floor,type,toilets,private_area,area_gross,total_area,net_area,EVcharging
44,123751072-62,False,-9.20167827606201,38.7093353271484,190000.0,Lisboa,Lisboa,Ajuda,"Moradia T2 à venda em Ajuda, Lisboa | RE/MAX","MORADIA T2 COM PROJECTO DE REMODELA&Ccedil;&Atilde;O APROVADO
&nbsp;
Moradia em ru&iacute;na com projeto de remodela&ccedil;&atilde;o aprovado na CML,",1937,Não,Não,Moradia;Residencial;Jardim;Infra-Estruturas,R/C,2,2,46,--,--,42,
45,122181168-367,False,-9.21482944488525,38.7048034667969,465000.0,Lisboa,Lisboa,Belém,"Moradia T4 à venda em Belém, Lisboa | RE/MAX","Moradia T4 no Bairro de Caselas
&nbsp;
Moradia para remodela&ccedil;&atilde;o total com 5 assoalhadas, distribu&iacute;das por 2 pisos.
Implantada num",1949,Não,1 Lug.,Perto de Transportes Públicos;Arrecadação;Local sossegado;Moradia;Quintal;Terraço;Gás Natural;Estrada Pavimentada,--,4,2,90,--,172,80,
46,123751159-48,False,-9.16456127166748,38.7343139648438,160000.0,Lisboa,Lisboa,Campolide,"Moradia T2 à venda em Campolide, Lisboa | RE/MAX","Moradia T2 | Vila Em&iacute;lia | Campolide
&nbsp;
Moradia T2, exposi&ccedil;&atilde;o solar: nascente/sul, estado usado, acessos a pessoas com limita",1937,Não,Não,Moradia;Urbano;Perto de Escola(s);Povoação;Perto de Floresta;Perto de Ginásio;Centro da Cidade;Perto de Transportes Públicos;Noroeste;Sul;Campo;Local sossegado;Perto de Lojas;Perto de Autoestrada;Perto de Parque;Perto de Igreja;Perto do Aeroporto;Sudeste;Norte;Estrada Pavimentada,--,2,1,34,--,--,31,
47,122911049-342,False,-9.1638393,38.7078552,5400000.0,Lisboa,Lisboa,Estrela,"Moradia T20 de luxo à venda em Estrela, Lisboa | RE/MAX Collection","Palacete dos Viscondes de Sacav&eacute;m
O edif&iacute;cio da Rua do Sacramento &agrave; Lapa foi encomendado em 1897 por Jos&eacute; Joaquim Pinto da",1897,Não,3+ Lug.,Casa Centenária;Palácio Qualificado;Fachada com Paineis Externos;Moradia;Localização;Este,--,20,0,650,933,828,650,
48,122181462-18,False,-9.20058155059814,38.7111625671387,850000.0,Lisboa,Lisboa,Ajuda,"Moradia T4 à venda em Ajuda, Lisboa | RE/MAX","Moradia T4 - Ajuda / Restelo
Charmosa moradia com 3 pisos, inserida no hist&oacute;rico Bairro da Ajuda a poucos minutos do Pal&aacute;cio da Ajuda, d",1951,Não,Não,Quintal;Perto de Transportes Públicos;Moradia;Piscina;Cozinha Equipada;Jardim;Este;Arrecadação,--,4,4,102,--,125,92,
49,126261064-4,False,-9.20107841491699,38.6965522766113,2850000.0,Lisboa,Lisboa,Belém,"Moradia T5 de luxo à venda em Belém, Lisboa | RE/MAX Collection","MORADIA NO RESTELO PARA REMODELA&Ccedil;&Atilde;O
Moradia unifamiliar isolada para remodela&ccedil;&atilde;o total em zona de excel&ecirc;cia com magn",1966,Não,3+ Lug.,Varanda;Jardim;Infra-Estruturas;Local sossegado;Moradia;Perto de Escola(s);Perto de Parque;Por Remodelar;Vista Aberta;Vista para o Mar;Piscina;Arrecadação;Urbano;Localização;Oeste;Perto de Hospital;Perto de Jardim;Sul;Vista Magnífica;Este,--,5,8,400,--,610,360,
50,121961137-231,False,-9.2039966583252,38.7469863891602,650000.0,Lisboa,Lisboa,Benfica,"Moradia T4 à venda em Benfica, Lisboa | RE/MAX","Moradia T4 geminada no Bairro de Santa Cruz em Benfica. Com 2 pisos, logradouro, garagem e anexo. Lote de terreno com 238m2.
&Aacute;rea de implanta&c",1951,Não,1 Lug.,,--,4,2,126,--,238,126,
51,126261066-3,False,-9.15565013885498,38.723316192627,1200000.0,Lisboa,Lisboa,Santo António,"Moradia T3 à venda em Santo António, Lisboa | RE/MAX","MORADIA T3 EM EDIF&Iacute;CIO PR&Eacute;MIO VALMOR
TRIPLEX NO P&Aacute;TEO BAGATELLA/AMOREIRAS
Com 184 m2 de &aacute;rea bruta, no luxuoso P&aacute;te",1997,Sim,2 Lug.,Moradia;Canal;Madeira;Varanda;Lareira;Residencial;Sul;Arrecadação;Infra-Estruturas;Urbano;Jardim;Piscina;Aquecimento;Privada;Este;Gerador;Cozinha Equipada;Terraço,--,3,2,112,184,--,101,Sim
52,123751243-70,False,-9.20028877258301,38.743278503418,699000.0,Lisboa,Lisboa,Benfica,"Moradia T3 à venda em Benfica, Lisboa | RE/MAX","Moradia em Banda T3 com Terra&ccedil;o em Benfica | Lisboa
Moradia em Banda, de tipologia T3 com um excelente terra&ccedil;o com barbecue localizada e",2011,Não,2 Lug.,Moradia;Este;Aquecimento;Infra-Estruturas;Ar Condicionado;Norte;Urbano,R/C,3,3,161,--,--,136,
53,121661100-91,True,-9.11685657501221,38.7740592956543,448000.0,Lisboa,Lisboa,Olivais,"Moradia T3 à venda em Olivais, Lisboa | RE/MAX","*** CPCV EFECTUADO ***
Moradia T3 com um &oacute;timo espa&ccedil;o exterior&nbsp;com churrasqueira e arrecada&ccedil;&atilde;o.&nbsp;
Localizada no c",1985,Não,Não,Quintal;Urbano;Cozinha Equipada;Moradia;Ar Condicionado;Perto de Autoestrada;Perto de Jardim;Perto de Igreja;Perto de Parque;Perto de Ginásio;Perto de Lojas;Oeste;Arrecadação;Vistas Exteriores;Terraço;Usado Remodelado;Centro da Cidade;Perto de Hospital;Trânsito de Acesso Fácil;Perto de Escola(s);Perto de Transportes Públicos;Perto do Aeroporto;Este,--,3,2,120,--,--,85,
54,120521374-686,False,-9.18941402435303,38.7049560546875,1200000.0,Lisboa,Lisboa,Alcântara,"Moradia T3 à venda em Alcântara, Lisboa | RE/MAX","Loft industrial | Caracter&iacute;sticas &uacute;nicas | Espa&ccedil;o exterior | Alc&acirc;ntara | Lisboa
Loft industrial (antiga f&aacute;brica de m",1951,Não,Não,Centro da Cidade;Perto de Escola(s);Perto de Hospital;Perto de Parque;Trânsito de Acesso Fácil;Jardim;Infra-Estruturas;Aquecimento;Perto de Igreja;Perto de Ginásio;Perto de Lojas;Perto de Jardim;Perto de Transportes Públicos;Este;Urbano,R/C,3,2,270,--,--,233,
55,120991164-607,False,-9.16664409637451,38.7283401489258,2300000.0,Lisboa,Lisboa,Campolide,"Moradia T4 de luxo à venda em Campolide, Lisboa | RE/MAX Collection","&nbsp;
🇵🇹&nbsp;
Procura uma casa encantadora com jardim no centro de Lisboa? A 5 minutos das Amoreiras e do El Corte Ingl&ecirc;s, com vista para Mo",1978,Não,2 Lug.,Moradia;Madeira;Ar Condicionado;Residencial;Terraço;Chão em Madeira Maciça;Jardim;Aquecimento;Lareira;Infra-Estruturas;Chão radiante;Garagem C/ Portão Automático,--,4,5,279,--,300,244,Sim
56,122181173-181,False,-9.10438537597656,38.7498893737793,340000.0,Lisboa,Lisboa,Marvila,"Moradia T4 à venda em Marvila, Lisboa | RE/MAX","Moradia para reabilita&ccedil;&atilde;o em Marvila
&nbsp;
Moradia t&eacute;rrea para reabilita&ccedil;&atilde;o, com 65 m2 de &aacute;rea bruta privat",1928,Não,Não,Moradia;Por Remodelar;Quintal;Construção Antiga;Perto de Centro de Congressos;Perto de Jardim;Perto de Parque;Perto do Aeroporto;Sul;Urbano;Jardim;Perto de Transportes Públicos;Perto de Hospital;Perto de Autoestrada;Trânsito de Acesso Fácil;Perto de Escola(s);Este;Oeste,--,4,1,65,--,180,58,
57,120992163-29,False,-9.1260232925415,38.7259483337402,720000.0,Lisboa,Lisboa,Penha de França,"Moradia T2 à venda em Penha de França, Lisboa | RE/MAX","Moradia Duplex com estacionamento, a Estrear
&nbsp;
Moradia com duas suites, estacionamento privativo, dois terra&ccedil;os e 4 casas de banho: s&atil",2021,Não,1 Lug.,Varanda;Arrecadação;Cozinha Equipada;Centro da Cidade;Perto de Autoestrada;Perto de Jardim;Terraço;Aquecimento;Ar Condicionado;Moradia;Perto de Lojas;Perto de Transportes Públicos,--,2,4,143,--,153,143,
